Node_ID,Lat,Lon
253,21.0169928,105.861025
254,21.0172247,105.8605666
255,21.0075301,105.8431435
256,21.0230309,105.8471894
257,21.0054476,105.8597789
258,21.0083552,105.8656974
259,21.0160272,105.8538455
260,21.0095351,105.8608322
261,21.0210454,105.8395523
262,21.0098878,105.8595204
263,21.0121184,105.8628298
264,21.0211944,105.8559752
265,21.0065585,105.856209
266,21.0087898,105.8650113
267,21.0157479,105.8541615
268,21.0073626,105.849862
269,21.0073966,105.8416248
270,21.0070248,105.8468115
271,21.0084862,105.8403262
272,21.0208006,105.8457709
273,21.0087427,105.8643783
274,21.0090703,105.8612872
275,21.0263088,105.8615452
276,21.0085877,105.8565977
277,21.0088652,105.8587135
278,21.0066265,105.8495537
279,21.0052947,105.8649527
280,21.0059879,105.8642712
281,21.0065104,105.8628749
282,21.0176886,105.8391762
283,21.0063871,105.865327
284,21.0192339,105.8608064
285,21.0060179,105.8541632
286,21.004026,105.8505289
287,21.0209768,105.8562982
288,21.0184785,105.8589297
289,21.0043738,105.8561241
290,21.0136723,105.8646336
291,21.0145851,105.858495
292,21.0071974,105.8567324
293,21.005233,105.8579841
294,21.0091879,105.8485991
295,21.0136187,105.8602893
296,21.015776,105.8393485
297,21.0102091,105.8378157
298,21.0095304,105.8579803
299,21.0062488,105.8518551
300,21.0086255,105.8546879
301,21.0088822,105.8649726
302,21.0134395,105.8592522
303,21.0194101,105.8315274
304,21.0174529,105.8504227
305,21.011918,105.8498249
306,21.0176207,105.8400229
307,21.0108042,105.8577937
308,21.0153541,105.85375
309,21.0049631,105.852277
310,21.0175138,105.8582272
311,21.0117106,105.8605912
312,21.0074492,105.8508315
313,21.0130509,105.854106
314,21.0188352,105.8503251
315,21.0117431,105.8657062
316,21.0234357,105.8616769
317,21.009075,105.8648386
318,21.0172681,105.8448097
319,21.0129112,105.857107
320,21.0118659,105.8587142
321,21.0066172,105.8446084
322,21.0091717,105.8505725
323,21.0222221,105.8542857
324,21.0078994,105.8637859
325,21.0097175,105.8561998
326,21.0124731,105.8471404
327,21.0049904,105.8447307
328,21.0160624,105.8407681
329,21.0088711,105.8623652
330,21.0212043,105.846915
331,21.0046458,105.8506524
332,21.0063677,105.851185
333,21.0155427,105.860127
334,21.0190154,105.8476392
335,21.0168885,105.8498223
336,21.010725,105.8398385
337,21.0179721,105.8603868
338,21.0168194,105.8529519
339,21.0071539,105.8627489
340,21.0071285,105.8454907
341,21.0089869,105.8459732
342,21.0056636,105.8489095
343,21.0102774,105.8644223
344,21.0082831,105.8414181
345,21.004436,105.8455641
346,21.0102701,105.8378901
347,21.0064563,105.8561573
348,21.0102834,105.8573136
349,21.0134821,105.8646579
350,21.005125,105.8637774
351,21.0112028,105.8465273
352,21.0180908,105.8573217
353,21.004289,105.8567262
354,21.0081963,105.8657624
355,21.0066386,105.8624715
356,21.0119686,105.8654258
357,21.0134883,105.8641827
358,21.0148673,105.83905
359,21.0162189,105.8626352
360,21.0089622,105.8606695
361,21.0103047,105.8677967
362,21.0162742,105.8636399
363,21.020314,105.8471809
364,21.0060683,105.8590393
365,21.0110102,105.8565774
366,21.0188199,105.8475258
367,21.0058055,105.8621891
368,21.0053387,105.8426947
369,21.0051556,105.8652688
370,21.004391,105.8501255
371,21.0055371,105.8550149
372,21.0162375,105.8557633
373,21.0139067,105.8576792
374,21.0136526,105.846715
375,21.0098853,105.8590322
376,21.0094552,105.8612108
377,21.012859,105.8631382
378,21.0176017,105.8481621
379,21.0055033,105.8541624
380,21.0136877,105.8510384
381,21.0193556,105.844167
382,21.0129226,105.8575122
383,21.0126093,105.8653099
384,21.0112913,105.8491978
385,21.011978,105.8557374
386,21.0089908,105.8621602
387,21.0050558,105.8496893
388,21.0219565,105.8570264
389,21.0156682,105.8382858
390,21.009925,105.8462163
391,21.0174719,105.8493667
392,21.0074904,105.8491386
393,21.0113862,105.8639262
